critical_care_activity_code_key,code_kind,code,description,valid_from,valid_to,is_current,first_fetch_run_id,loaded_at,loaded_by,updated_at,updated_by
34,national,59,Acute severe asthma requiring intravenous bronchodilator therapy or continuous nebuliser,1900-01-01T00:00:00.000000+00:00,,true,3,2026-09-12T21:50:58.303823+00:00,databot,,
35,national,60,Arterial line monitoring,1900-01-01T00:00:00.000000+00:00,,true,3,2026-09-12T21:50:58.303823+00:00,databot,,
36,national,61,Cardiac pacing via an external box (pacing wires or external pads or oesophageal pacing),1900-01-01T00:00:00.000000+00:00,,true,3,2026-09-12T21:50:58.303823+00:00,databot,,
37,national,62,Central venous pressure monitoring,1900-01-01T00:00:00.000000+00:00,,true,3,2026-09-12T21:50:58.303823+00:00,databot,,
38,national,63,Bolus intravenous fluids (> 80 ml/kg/day) in addition to maintenance intravenous fluids,1900-01-01T00:00:00.000000+00:00,,true,3,2026-09-12T21:50:58.303823+00:00,databot,,
39,national,64,Cardio-pulmonary resuscitation (CPR),1900-01-01T00:00:00.000000+00:00,,true,3,2026-09-12T21:50:58.303823+00:00,databot,,
40,national,65,Extracorporeal membrane oxygenation (ECMO) or Ventricular Assist Device (VAD) or aortic balloon pump,1900-01-01T00:00:00.000000+00:00,,true,3,2026-09-12T21:50:58.303823+00:00,databot,,
41,national,66,Haemodialysis (acute PATIENTS only i.e. excluding chronic),1900-01-01T00:00:00.000000+00:00,,true,3,2026-09-12T21:50:58.303823+00:00,databot,,
42,national,67,Plasma filtration or Plasma exchange,1900-01-01T00:00:00.000000+00:00,,true,3,2026-09-12T21:50:58.303823+00:00,databot,,
43,national,68,ICP-intracranial pressure monitoring,1900-01-01T00:00:00.000000+00:00,,true,3,2026-09-12T21:50:58.303823+00:00,databot,,
44,national,69,Intraventricular catheter or external ventricular drain,1900-01-01T00:00:00.000000+00:00,,true,3,2026-09-12T21:50:58.303823+00:00,databot,,
45,national,70,Diabetic ketoacidosis (DKA) requiring continuous infusion of insulin,1900-01-01T00:00:00.000000+00:00,,true,3,2026-09-12T21:50:58.303823+00:00,databot,,
46,national,71,Intravenous infusion of thrombolytic agent (limited to tissue plasminogen activator [tPA] and streptokinase),1900-01-01T00:00:00.000000+00:00,,true,3,2026-09-12T21:50:58.303823+00:00,databot,,
47,national,72,Extracorporeal liver support using Molecular Absorbent Liver Recirculating System (MARS),1900-01-01T00:00:00.000000+00:00,,true,3,2026-09-12T21:50:58.303823+00:00,databot,,
48,national,73,Continuous pulse oximetry,1900-01-01T00:00:00.000000+00:00,,true,3,2026-09-12T21:50:58.303823+00:00,databot,,
49,national,74,PATIENT nursed in single occupancy cubicle,1900-01-01T00:00:00.000000+00:00,,true,3,2026-09-12T21:50:58.303823+00:00,databot,,
50,national,80,Heated Humidified High Flow Therapy (HHHFT) ( PATIENT receiving HHHFT),1900-01-01T00:00:00.000000+00:00,,true,3,2026-09-12T21:50:58.303823+00:00,databot,,
51,national,81,Presence of an umbilical venous line,1900-01-01T00:00:00.000000+00:00,,true,3,2026-09-12T21:50:58.303823+00:00,databot,,
52,national,82,Continuous infusion of insulin ( PATIENT receiving a continuous infusion of insulin),1900-01-01T00:00:00.000000+00:00,,true,3,2026-09-12T21:50:58.303823+00:00,databot,,
53,national,83,Therapeutic hypothermia ( PATIENT receiving therapeutic hypothermia),1900-01-01T00:00:00.000000+00:00,,true,3,2026-09-12T21:50:58.303823+00:00,databot,,
54,national,84,PATIENT has a Replogle tube in situ,1900-01-01T00:00:00.000000+00:00,,true,3,2026-09-12T21:50:58.303823+00:00,databot,,
55,national,85,PATIENT has an epidural catheter in situ,1900-01-01T00:00:00.000000+00:00,,true,3,2026-09-12T21:50:58.303823+00:00,databot,,
56,national,86,PATIENT has an abdominal silo,1900-01-01T00:00:00.000000+00:00,,true,3,2026-09-12T21:50:58.303823+00:00,databot,,
57,national,87,Administration of intravenous (IV) blood products,1900-01-01T00:00:00.000000+00:00,,true,3,2026-09-12T21:50:58.303823+00:00,databot,,
58,national,88,PATIENT has a central venous or long line (Peripherally Inserted Central Catheter line) in situ,1900-01-01T00:00:00.000000+00:00,,true,3,2026-09-12T21:50:58.303823+00:00,databot,,
59,national,89,PATIENT has an indwelling urinary or suprapubic catheter in situ,1900-01-01T00:00:00.000000+00:00,,true,3,2026-09-12T21:50:58.303823+00:00,databot,,
60,national,90,PATIENT has a trans-anastomotic tube in situ following oesophageal atresia repair,1900-01-01T00:00:00.000000+00:00,,true,3,2026-09-12T21:50:58.303823+00:00,databot,,
61,national,91,PATIENT has confirmed clinical seizure(s) today and/or continuous cerebral function monitoring (CFM),1900-01-01T00:00:00.000000+00:00,,true,3,2026-09-12T21:50:58.303823+00:00,databot,,
62,national,92,PATIENT has a ventricular tap via needle or reservoir today,1900-01-01T00:00:00.000000+00:00,,true,3,2026-09-12T21:50:58.303823+00:00,databot,,
63,national,93,PATIENT has a stoma,1900-01-01T00:00:00.000000+00:00,,true,3,2026-09-12T21:50:58.303823+00:00,databot,,
64,national,94,PATIENT has arrhythmia requiring intravenous anti-arrhythmic therapy,1900-01-01T00:00:00.000000+00:00,,true,3,2026-09-12T21:50:58.303823+00:00,databot,,
65,national,95,PATIENT has reduced conscious level (Glasgow Coma Score 12 or below) and hourly (or more frequent) Glasgow Coma Score monitoring,1900-01-01T00:00:00.000000+00:00,,true,3,2026-09-12T21:50:58.303823+00:00,databot,,
66,national,96,Intravenous infusion of sedative agent ( PATIENT receiving continuous intravenous infusion of sedative agent),1900-01-01T00:00:00.000000+00:00,,true,3,2026-09-12T21:50:58.303823+00:00,databot,,
67,national,97,PATIENT has status epilepticus requiring treatment with continuous intravenous infusion,1900-01-01T00:00:00.000000+00:00,,true,3,2026-09-12T21:50:58.303823+00:00,databot,,
68,national,99,"No Defined Critical Care Activity ( PATIENT is not receiving any of the critical care interventions listed above (Excluding code 21). For example, PATIENT is on the Intensive Care Unit ready for discharge and is receiving normal care. This is the default code.",1900-01-01T00:00:00.000000+00:00,,true,3,2026-09-12T21:50:58.303823+00:00,databot,,
