emed3_fit_note_follow_up_assessment_required_indicator_key,code_kind,code,description,valid_from,valid_to,is_current,first_fetch_run_id,loaded_at,loaded_by,updated_at,updated_by
1,national,N,No - a follow up CARE CONTACT is not required at the end of the eMED3 Fit Note Applicable Period,1900-01-01T00:00:00.000000+00:00,,true,3,2026-09-12T21:50:58.303823+00:00,databot,,
2,national,Y,Yes - a follow up CARE CONTACT is required at the end of the eMED3 Fit Note Applicable Period,1900-01-01T00:00:00.000000+00:00,,true,3,2026-09-12T21:50:58.303823+00:00,databot,,
