care_professional_discharge_responsibility_indicator_for_em_key,code_kind,code,description,valid_from,valid_to,is_current,first_fetch_run_id,loaded_at,loaded_by,updated_at,updated_by
1,national,N,No - the CARE PROFESSIONAL is not responsible for discharge of the PATIENT,1900-01-01T00:00:00.000000+00:00,,true,3,2026-09-12T21:50:58.303823+00:00,databot,,
2,national,Y,Yes - the CARE PROFESSIONAL is responsible for discharge of the PATIENT,1900-01-01T00:00:00.000000+00:00,,true,3,2026-09-12T21:50:58.303823+00:00,databot,,
