patient_on_patient_initiated_out_patient_follow_up_pathway__key,code_kind,code,description,valid_from,valid_to,is_current,first_fetch_run_id,loaded_at,loaded_by,updated_at,updated_by
1,national,N,No - PATIENT is not on a Patient Initiated Out-Patient Follow-Up Pathway,1900-01-01T00:00:00.000000+00:00,,true,3,2026-09-12T21:50:58.303823+00:00,databot,,
2,national,Y,Yes - PATIENT is on a Patient Initiated Out-Patient Follow-Up Pathway,1900-01-01T00:00:00.000000+00:00,,true,3,2026-09-12T21:50:58.303823+00:00,databot,,
