code_list_key,source_key,list_key,list_name,item_name,concept_name,superseded_by,source_page,data_sets,valid_from,valid_to,is_current,first_fetch_run_id,loaded_at,loaded_by,updated_at,updated_by
10,nhs_dd_cds,anaesthetic_given_post_labour_or_delivery_code,anaesthetic_given_post_labour_or_delivery_code,ANAESTHETIC GIVEN POST LABOUR OR DELIVERY CODE,,,https://www.datadictionary.nhs.uk/data_elements/anaesthetic_given_post_labour_or_delivery_code.html,cds_v6-2_type_120_-_admitted_patient_care_-_finished_birth_episode_cds;cds_v6-2_type_140_-_admitted_patient_care_-_finished_delivery_episode_cds;cds_v6-2_type_150_-_admitted_patient_care_-_other_birth_event_cds;cds_v6-2_type_160_-_admitted_patient_care_-_other_delivery_event_cds;cds_v6-2_type_180_-_admitted_patient_care_-_unfinished_birth_episode_cds;cds_v6-2_type_200_-_admitted_patient_care_-_unfinished_delivery_episode_cds;cds_v6-3_type_120_-_admitted_patient_care_-_finished_birth_episode_cds;cds_v6-3_type_140_-_admitted_patient_care_-_finished_delivery_episode_cds;cds_v6-3_type_150_-_admitted_patient_care_-_other_birth_event_cds;cds_v6-3_type_160_-_admitted_patient_care_-_other_delivery_event_cds;cds_v6-3_type_180_-_admitted_patient_care_-_unfinished_birth_episode_cds;cds_v6-3_type_200_-_admitted_patient_care_-_unfinished_delivery_episode_cds,1900-01-01T00:00:00.000000+00:00,,true,3,2026-09-12T21:50:58.303823+00:00,databot,,
11,nhs_dd_cds,appointment_booked_reason,appointment_booked_reason,APPOINTMENT BOOKED REASON,APPOINTMENT BOOKED REASON,,https://www.datadictionary.nhs.uk/data_elements/appointment_booked_reason.html,cds_v6-3_type_020_-_outpatient_cds,1900-01-01T00:00:00.000000+00:00,,true,3,2026-09-12T21:50:58.303823+00:00,databot,,
12,nhs_dd_cds,attendance_status,attendance_status,ATTENDANCE STATUS,ATTENDANCE STATUS,ATTENDANCE STATUS,https://www.datadictionary.nhs.uk/data_elements/attendance_status.html,cds_v6-3_type_020_-_outpatient_cds,1900-01-01T00:00:00.000000+00:00,2026-09-12T21:55:57.028191+00:00,false,3,2026-09-12T21:50:58.303823+00:00,databot,2026-09-12T21:55:57.028191+00:00,databot
128,nhs_dd_cds,attendance_status,attendance_status,ATTENDANCE STATUS,ATTENDANCE STATUS,,https://www.datadictionary.nhs.uk/data_elements/attendance_status.html,cds_v6-3_type_020_-_outpatient_cds,2026-09-12T21:55:57.028191+00:00,,true,4,2026-09-12T21:55:57.028191+00:00,databot,,
13,nhs_dd_cds,attended_or_did_not_attend_code,attended_or_did_not_attend,ATTENDED OR DID NOT ATTEND CODE,ATTENDED OR DID NOT ATTEND,ATTENDANCE STATUS,https://www.datadictionary.nhs.uk/data_elements/attended_or_did_not_attend_code.html,cds_v6-2_type_020_-_outpatient_cds;cds_v6-2_type_021_-_future_outpatient_cds,1900-01-01T00:00:00.000000+00:00,,true,3,2026-09-12T21:50:58.303823+00:00,databot,,
14,nhs_dd_cds,care_professional_discharge_responsibility_indicator_emergency_care,care_professional_discharge_responsibility_indicator_for_em,CARE PROFESSIONAL DISCHARGE RESPONSIBILITY INDICATOR (EMERGENCY CARE),CARE PROFESSIONAL DISCHARGE RESPONSIBILITY INDICATOR FOR EMERGENCY CARE,,https://www.datadictionary.nhs.uk/data_elements/care_professional_discharge_responsibility_indicator_emergency_care.html,cds_v6-2-3_type_011_-_emergency_care_cds,1900-01-01T00:00:00.000000+00:00,,true,3,2026-09-12T21:50:58.303823+00:00,databot,,
15,nhs_dd_cds,care_professional_main_specialty_code,main_specialty_code,CARE PROFESSIONAL MAIN SPECIALTY CODE,MAIN SPECIALTY CODE,,https://www.datadictionary.nhs.uk/data_elements/care_professional_main_specialty_code.html,cds_v6-2_type_020_-_outpatient_cds;cds_v6-2_type_021_-_future_outpatient_cds;cds_v6-2_type_030_-_elective_admission_list_-_end_of_period_census_standard_cds;cds_v6-2_type_050_-_elective_admission_list_-_end_of_period_census_new_cds;cds_v6-2_type_060_-_elective_admission_list_-_event_during_period_add_cds;cds_v6-2_type_110_-_elective_admission_list_-_event_during_period_new_service_agreement_cds;cds_v6-2_type_120_-_admitted_patient_care_-_finished_birth_episode_cds;cds_v6-2_type_130_-_admitted_patient_care_-_finished_general_episode_cds;cds_v6-2_type_140_-_admitted_patient_care_-_finished_delivery_episode_cds;cds_v6-2_type_170_-_admitted_patient_care_-_detained_and_or_long_term_psychiatric_census_cds;cds_v6-2_type_180_-_admitted_patient_care_-_unfinished_birth_episode_cds;cds_v6-2_type_190_-_admitted_patient_care_-_unfinished_general_episode_cds;cds_v6-2_type_200_-_admitted_patient_care_-_unfinished_delivery_episode_cds;cds_v6-3_type_020_-_outpatient_cds;cds_v6-3_type_120_-_admitted_patient_care_-_finished_birth_episode_cds;cds_v6-3_type_130_-_admitted_patient_care_-_finished_general_episode_cds;cds_v6-3_type_140_-_admitted_patient_care_-_finished_delivery_episode_cds;cds_v6-3_type_180_-_admitted_patient_care_-_unfinished_birth_episode_cds;cds_v6-3_type_190_-_admitted_patient_care_-_unfinished_general_episode_cds;cds_v6-3_type_200_-_admitted_patient_care_-_unfinished_delivery_episode_cds,1900-01-01T00:00:00.000000+00:00,,true,3,2026-09-12T21:50:58.303823+00:00,databot,,
16,nhs_dd_cds,care_professional_tier_emergency_care,care_professional_tier_for_emergency_care,CARE PROFESSIONAL TIER (EMERGENCY CARE),CARE PROFESSIONAL TIER FOR EMERGENCY CARE,,https://www.datadictionary.nhs.uk/data_elements/care_professional_tier_emergency_care.html,cds_v6-2-3_type_011_-_emergency_care_cds,1900-01-01T00:00:00.000000+00:00,,true,3,2026-09-12T21:50:58.303823+00:00,databot,,
17,nhs_dd_cds,carer_support_indicator,carer_support_indicator,CARER SUPPORT INDICATOR,CARER SUPPORT INDICATOR,,https://www.datadictionary.nhs.uk/data_elements/carer_support_indicator.html,cds_v6-2_type_020_-_outpatient_cds;cds_v6-2_type_021_-_future_outpatient_cds;cds_v6-2_type_030_-_elective_admission_list_-_end_of_period_census_standard_cds;cds_v6-2_type_050_-_elective_admission_list_-_end_of_period_census_new_cds;cds_v6-2_type_060_-_elective_admission_list_-_event_during_period_add_cds;cds_v6-2_type_110_-_elective_admission_list_-_event_during_period_new_service_agreement_cds;cds_v6-2_type_130_-_admitted_patient_care_-_finished_general_episode_cds;cds_v6-2_type_140_-_admitted_patient_care_-_finished_delivery_episode_cds;cds_v6-2_type_160_-_admitted_patient_care_-_other_delivery_event_cds;cds_v6-2_type_170_-_admitted_patient_care_-_detained_and_or_long_term_psychiatric_census_cds;cds_v6-2_type_190_-_admitted_patient_care_-_unfinished_general_episode_cds;cds_v6-2_type_200_-_admitted_patient_care_-_unfinished_delivery_episode_cds;cds_v6-3_type_020_-_outpatient_cds;cds_v6-3_type_130_-_admitted_patient_care_-_finished_general_episode_cds;cds_v6-3_type_140_-_admitted_patient_care_-_finished_delivery_episode_cds;cds_v6-3_type_160_-_admitted_patient_care_-_other_delivery_event_cds;cds_v6-3_type_190_-_admitted_patient_care_-_unfinished_general_episode_cds;cds_v6-3_type_200_-_admitted_patient_care_-_unfinished_delivery_episode_cds,1900-01-01T00:00:00.000000+00:00,,true,3,2026-09-12T21:50:58.303823+00:00,databot,,
18,nhs_dd_cds,cds_bulk_replacement_group_code,cds_bulk_replacement_group_code,CDS BULK REPLACEMENT GROUP CODE,CDS BULK REPLACEMENT GROUP CODE,,https://www.datadictionary.nhs.uk/data_elements/cds_bulk_replacement_group_code.html,cds_v6-2-3_type_005b_-_cds_transaction_header_group_-_bulk_update_protocol;cds_v6-2_type_005b_-_cds_transaction_header_group_-_bulk_update_protocol;cds_v6-3_type_005b_-_cds_transaction_header_group_-_bulk_update_protocol,1900-01-01T00:00:00.000000+00:00,,true,3,2026-09-12T21:50:58.303823+00:00,databot,,
